,kpm,okpm,a,k,d,performance
1059,0.0,0.0364077669902912,3.0,0.0,3.0,C
1060,0.0628601361969617,0.1571503404924044,5.0,2.0,5.0,C
1061,0.0628601361969617,0.2200104766893661,7.0,2.0,4.0,B
1062,0.0628601361969617,0.0628601361969617,6.0,2.0,4.0,C
1063,0.1885804085908853,0.1257202723939235,4.0,6.0,3.0,C
1064,0.0,0.0,9.0,0.0,2.0,C
1065,0.1571503404924044,0.0628601361969617,9.0,5.0,2.0,C
1066,0.2200104766893661,0.0628601361969617,7.0,7.0,0.0,B
1067,0.0628601361969617,0.0628601361969617,11.0,2.0,4.0,C
1068,0.1257202723939235,0.1885804085908853,8.0,4.0,2.0,B
1069,0.0,0.0,11.0,0.0,4.0,B
1070,0.1567398119122257,0.0313479623824451,5.0,5.0,2.0,C
1071,0.0940438871473354,0.0313479623824451,9.0,3.0,1.0,C
1072,0.0940438871473354,0.0626959247648902,2.0,3.0,4.0,C
1073,0.1880877742946708,0.1880877742946708,3.0,6.0,0.0,A
1074,0.0,0.0,7.0,0.0,3.0,C
1075,0.0313479623824451,0.1567398119122257,2.0,1.0,6.0,B
1076,0.0313479623824451,0.0940438871473354,5.0,1.0,2.0,C
1077,0.0626959247648902,0.0940438871473354,2.0,2.0,4.0,C
1078,0.1880877742946708,0.1880877742946708,2.0,6.0,2.0,B
1079,0.0,0.0,6.0,0.0,3.0,C
1080,0.0,0.0,3.0,0.0,2.0,C
1081,0.0351906158357771,0.0703812316715542,8.0,1.0,3.0,C
1082,0.3519061583577712,0.0703812316715542,5.0,10.0,1.0,A
1083,0.1407624633431085,0.1407624633431085,5.0,4.0,1.0,C
1084,0.0703812316715542,0.0351906158357771,10.0,2.0,2.0,C
1085,0.0,0.0,3.0,0.0,4.0,B
1086,0.0703812316715542,0.0351906158357771,3.0,2.0,7.0,A
1087,0.0703812316715542,0.3519061583577712,5.0,2.0,2.0,A
1088,0.1407624633431085,0.1407624633431085,0.0,4.0,1.0,B
1089,0.0351906158357771,0.0703812316715542,2.0,1.0,3.0,C
1090,0.1883091408395449,0.1412318556296586,9.0,8.0,8.0,A
1091,0.0235386426049431,0.0470772852098862,17.0,1.0,6.0,A
1092,0.2353864260494311,0.1647704982346018,12.0,10.0,5.0,A
1093,0.211847783444488,0.2824637112593173,12.0,9.0,6.0,A
1094,0.0,0.0941545704197724,21.0,0.0,7.0,A
1095,0.1412318556296586,0.1883091408395449,6.0,6.0,5.0,A
1096,0.0470772852098862,0.0235386426049431,17.0,2.0,5.0,A
1097,0.1647704982346018,0.2353864260494311,17.0,7.0,7.0,A
1098,0.2824637112593173,0.211847783444488,11.0,12.0,6.0,A
1099,0.0941545704197724,0.0,15.0,4.0,5.0,A
1100,0.1162040025823111,0.038734667527437,10.0,3.0,1.0,B
1101,0.3486120077469335,0.0,7.0,9.0,1.0,A
1102,0.1162040025823111,0.1549386701097482,11.0,3.0,3.0,A
1103,0.1936733376371852,0.1162040025823111,5.0,5.0,2.0,A
1104,0.0,0.0,15.0,0.0,1.0,A
1105,0.038734667527437,0.1162040025823111,4.0,1.0,6.0,B
1106,0.0,0.3486120077469335,4.0,0.0,5.0,A
1107,0.1549386701097482,0.1162040025823111,2.0,4.0,2.0,B
1108,0.1162040025823111,0.1936733376371852,4.0,3.0,1.0,B
1109,0.0,0.0,4.0,0.0,6.0,A
1110,0.2584968884633796,0.2297750119674485,6.0,9.0,7.0,A
1111,0.1148875059837242,0.2010531354715174,9.0,4.0,10.0,A
1112,0.0574437529918621,0.1436093824796553,13.0,2.0,6.0,A
1113,0.1723312589755863,0.2584968884633796,9.0,6.0,5.0,A
1114,0.0,0.1436093824796553,13.0,0.0,6.0,A
1115,0.2297750119674485,0.2584968884633796,15.0,8.0,3.0,A
1116,0.2010531354715174,0.1148875059837242,18.0,7.0,4.0,A
1117,0.1436093824796553,0.0574437529918621,14.0,5.0,5.0,A
1118,0.2584968884633796,0.1723312589755863,13.0,9.0,6.0,A
1119,0.1436093824796553,0.0,22.0,5.0,3.0,A
1120,0.0289435600578871,0.0,1.0,1.0,3.0,B
1121,0.0,0.0868306801736613,4.0,0.0,1.0,C
1122,0.0289435600578871,0.0868306801736613,4.0,1.0,3.0,C
1123,0.0868306801736613,0.0868306801736613,2.0,3.0,1.0,C
1124,0.0868306801736613,0.0289435600578871,3.0,3.0,2.0,C
1125,0.0,0.0289435600578871,5.0,0.0,2.0,C
1126,0.0868306801736613,0.0,4.0,3.0,0.0,C
1127,0.0868306801736613,0.0289435600578871,5.0,3.0,4.0,C
1128,0.0868306801736613,0.0868306801736613,5.0,3.0,1.0,C
1129,0.0289435600578871,0.0868306801736613,8.0,1.0,1.0,C
1130,0.0555812876331635,0.1945345067160722,0.0,2.0,3.0,B
1131,0.0,0.0555812876331635,7.0,0.0,5.0,C
1132,0.0277906438165817,0.1667438628994905,3.0,1.0,5.0,C
1133,0.0833719314497452,0.1389532190829087,3.0,3.0,5.0,C
1134,0.0277906438165817,0.0277906438165817,6.0,1.0,3.0,C
