,winrate_total,sum_total,winrate_total_z,winrate_total_minmax,sum_total_z,sum_total_minmax
34,70%,10,0.9661431265221423,0.7,-0.15589246026620932,0.12857142857142856
35,60%,10,0.5962914609003848,0.6,-0.15589246026620932,0.12857142857142856
36,67%,9,0.8551876268356153,0.67,-0.2253354652938844,0.11428571428571427
37,67%,9,0.8551876268356153,0.67,-0.2253354652938844,0.11428571428571427
38,56%,9,0.448350794651682,0.56,-0.2253354652938844,0.11428571428571427
39,56%,9,0.448350794651682,0.56,-0.2253354652938844,0.11428571428571427
40,44%,9,0.004528795905572597,0.44,-0.2253354652938844,0.11428571428571427
41,50%,8,0.22643979527862718,0.5,-0.2947784703215595,0.09999999999999999
42,50%,8,0.22643979527862718,0.5,-0.2947784703215595,0.09999999999999999
43,38%,8,-0.217382203467482,0.38,-0.2947784703215595,0.09999999999999999
44,38%,8,-0.217382203467482,0.38,-0.2947784703215595,0.09999999999999999
45,38%,8,-0.217382203467482,0.38,-0.2947784703215595,0.09999999999999999
46,38%,8,-0.217382203467482,0.38,-0.2947784703215595,0.09999999999999999
47,13%,8,-1.1420113675218762,0.13,-0.2947784703215595,0.09999999999999999
48,71%,7,1.0031282930843182,0.71,-0.3642214753492346,0.0857142857142857
49,71%,7,1.0031282930843182,0.71,-0.3642214753492346,0.0857142857142857
50,57%,7,0.48533596121385736,0.57,-0.3642214753492346,0.0857142857142857
51,14%,7,-1.1050262009597003,0.14,-0.3642214753492346,0.0857142857142857
52,50%,6,0.22643979527862718,0.5,-0.43366448037690963,0.07142857142857142
53,50%,6,0.22643979527862718,0.5,-0.43366448037690963,0.07142857142857142
54,50%,6,0.22643979527862718,0.5,-0.43366448037690963,0.07142857142857142
55,0%,6,-1.6228185328301612,0.0,-0.43366448037690963,0.07142857142857142
56,60%,5,0.5962914609003848,0.6,-0.5031074854045847,0.05714285714285714
57,40%,5,-0.14341187034313038,0.4,-0.5031074854045847,0.05714285714285714
58,40%,5,-0.14341187034313038,0.4,-0.5031074854045847,0.05714285714285714
59,20%,5,-0.8831152015866457,0.2,-0.5031074854045847,0.05714285714285714
60,20%,5,-0.8831152015866457,0.2,-0.5031074854045847,0.05714285714285714
61,20%,5,-0.8831152015866457,0.2,-0.5031074854045847,0.05714285714285714
62,50%,4,0.22643979527862718,0.5,-0.5725504904322598,0.04285714285714286
63,50%,4,0.22643979527862718,0.5,-0.5725504904322598,0.04285714285714286
64,50%,4,0.22643979527862718,0.5,-0.5725504904322598,0.04285714285714286
65,50%,4,0.22643979527862718,0.5,-0.5725504904322598,0.04285714285714286
66,50%,4,0.22643979527862718,0.5,-0.5725504904322598,0.04285714285714286
