,k,d
341,0.00026321684004313307,0.00013160842002156654
342,0.00012541435530938179,0.00025082871061876357
343,8.01758524328168e-05,0.0001603517048656336
344,0.0001820318940868109,9.101594704340544e-05
345,0.0,0.0008273807357023181
346,0.0002817879289608463,0.00011271517158433853
347,0.0,0.000372565867529992
348,0.0001021818135263225,0.0
349,9.302929563631748e-05,9.302929563631748e-05
350,0.0,0.0006282937567573161
351,8.173029153824812e-05,0.00024519087461474435
352,0.0007437000322877157,0.0011155500484315735
353,9.624964114915771e-05,0.0
354,0.00018990271457764338,0.0
355,0.0,0.0003334183343037627
356,0.00012090035952063682,0.00015112544940079604
357,0.0002321773854408493,0.0004643547708816986
358,8.402256069605444e-05,5.6015040464036295e-05
359,8.63199088706353e-05,0.0003452796354825412
360,0.00032334084971312325,0.0002694507080942693
361,0.0003004933088224972,0.0003756166360281215
362,0.00017629677552094636,0.0
363,0.00020432138249062415,0.0008172855299624966
364,0.0002386659883929992,4.773319767859983e-05
365,0.0003973824511647018,7.947649023294035e-05
366,0.00021877165139887333,0.0001458477675992489
367,0.0005170711378288906,7.386730540412722e-05
368,0.0003238717329415244,0.0004858075994122866
369,0.00039434381876321745,0.0002628958791754783
370,0.0,0.0010053231285435736
371,0.00010168027204918224,0.0005084013602459112
372,0.00018609002899321465,0.0003721800579864293
373,0.00021489889142485964,0.0015042922399740174
374,0.00015500950335589007,0.00031001900671178014
375,0.00047129072150885464,0.00015709690716961822
376,0.0003045832148604002,6.0916642972080035e-05
377,0.0005756480487844664,8.223543554063805e-05
378,0.00010569587110848249,0.00042278348443392996
379,0.0003368117577291397,0.0004210146971614246
380,0.00018522035882410093,0.0007408814352964037
381,0.00011555396975676733,0.00011555396975676733
382,0.0005467494032369437,0.0005467494032369437
383,0.0,0.0005833399174739
384,0.0,6.967637361167876e-05
385,0.00016315644680197063,8.157822340098532e-05
386,0.0003425224264350253,0.0
387,6.88269006347827e-05,0.0002753076025391308
388,0.00023611519529223213,0.000550935455681875
389,6.876188086336657e-05,0.00048133316604356596
390,0.0002349779521151201,0.00014098677126907205
391,0.00036747145129348996,0.0007349429025869799
392,0.00017978488680863436,0.00017978488680863436
393,0.00032907506517168485,8.226876629292121e-05
394,0.0003844911012155931,8.544246693679847e-05
395,0.00034866536376400195,6.973307275280038e-05
396,0.0,0.0007353513893907821
397,0.0001208905440390561,0.0002417810880781122
398,0.0001163117260131735,0.0001163117260131735
